,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
bedrooms,0.11783604725196468,,0.08172486810085879,-0.08888346883664415,-0.06818651584963768,,0.005181571101282902,0.10381033412141204,0.7409323889333789,0.5725645108779784,1.0,0.667241319979972,-0.02715236764115052,-0.042478445881654316,-0.044693378665825866,-0.08641902265834263,0.0011634611085403832,-0.0059179185977565945,-0.04295620060002613,-0.004456598325129285,,1.3124762880526339e-05,0.0158392769750802,0.014790267694450764,-0.024976837279855637,-0.12731462304882904,-0.04990610985772733,-0.025337959819787325,0.013462864564020025,-0.05994455380395237,-0.0709701087006988,0.12708986658171584,0.042840739285442006,0.021183800793251818,0.03736172911134531,0.03503658997603607,0.03556993574663285,-0.06428556513320258,0.038238149701849876,-0.048227660245667214,-0.08672104523969681,0.12937424548620424,-0.03205602361447337,-0.049746358642549025,0.049975086102852506
beds,0.020730072156006456,,0.00978050943850653,-0.08803200595514016,-0.04876175470124523,,-0.018964896079412694,0.10705944310721673,0.8184504881319941,0.5891498874574382,0.667241319979972,1.0,-0.10880745377802595,-0.03388067315041458,-0.11732738859310463,-0.1267751888432472,0.049479474096110934,0.0651978643538068,-0.11616219787803411,0.05429494871465754,,0.06081221528135244,0.08325688486241438,0.08190160618204792,0.01904530178850746,-0.012933305892410693,0.05914727442476467,0.059015953448630275,0.06293558295999509,0.04609916419577776,0.03746978482298522,0.1988844134195108,0.038804272427690426,0.01997840031003649,0.03169942016587286,0.03507014509070831,0.035841320527758645,-0.009494803578282293,0.04373648817677087,-0.11029771422713106,-0.07391650021828565,-0.13580827545918248,0.1360022776320296,0.040512518003818714,0.10279905972797414
minimum_nights,-0.03296055632549683,,-0.09319604517872983,0.08978589035270497,0.06886687907152,,-0.0023081740877257443,-0.07633525670163445,-0.13858669708256632,-0.05015879601075161,-0.02715236764115052,-0.10880745377802595,1.0,0.12770767581765927,0.8310051406761181,0.4924458709988048,0.07609625852921106,0.03883518916455448,0.8596019666419811,0.051148318975172635,,-0.1396374506833175,-0.15763607448911124,-0.13774001763533747,0.03567559908658078,-0.16218612371295862,-0.25768551654377375,-0.25304271701950387,-0.05268291092638571,-0.23472268659676138,-0.16640168081670187,-0.1334925947234968,-0.027473049929662118,-0.015501049305667598,-0.061841335079282515,-0.033182748410295726,-0.004933530384154281,0.002624577184603956,-0.057513680506105176,0.2343446672832548,0.2142641358940975,0.09914261525963972,0.0016075694371110339,-0.25830989003829463,-0.03889881192589144
maximum_nights,-0.18537711653254899,,-0.09708437228369178,0.2930986016842313,0.28649944467853433,,-0.009214630359427545,-0.07322606401259696,-0.015594637415476023,-0.006450193933355999,-0.042478445881654316,-0.03388067315041458,0.12770767581765927,1.0,0.15646171939013506,0.29961922188877926,0.4464228002928104,0.5301895654723163,0.1624725742970008,0.49588585834082033,,-0.04241880731529636,-0.051763328707217615,-0.0381354982777204,0.15486553421296526,-0.01462123780018108,-0.15439918765647567,-0.15495589121502865,0.05193912503712754,-0.12682682158583594,-0.14804907243354282,-0.053692181302792484,-0.059029266210506935,-0.049224864617110974,-0.06548238225006565,-0.02109944936186503,-0.061863461581605904,-0.015088489279143443,-0.06633051116012202,0.15163890000135274,0.1578544228503145,-0.03432223655866976,0.02122821670930522,-0.1587776562169734,0.12455475612152356
minimum_minimum_nights,-0.05523602118447412,,-0.08767577885312121,0.10151338070770959,0.07851665276228165,,-0.01304285186575864,-0.05913613832385682,-0.16040653442442607,-0.06491918848660712,-0.044693378665825866,-0.11732738859310463,0.8310051406761181,0.15646171939013506,1.0,0.5242231082724629,0.07134779235706293,0.029048831657350525,0.9732379775618202,0.04339754567024007,,-0.13877403535194452,-0.15371882533665612,-0.1262508136464792,0.06450571925575553,-0.1753990097408252,-0.28821470613569244,-0.28355346776147544,-0.028686603264727537,-0.26139162950173367,-0.21723945435979122,-0.1735015183907479,-0.017311282856638507,-0.013513949530192124,-0.05955504952437716,0.00787954932418009,-0.0008210673938207144,0.0033520077488130395,-0.04030128703090985,0.16374568497821285,0.13537936890007615,0.12158066704074033,0.006003701748317535,-0.26573916982126233,-0.039422969988783044
maximum_minimum_nights,-0.009457297499053599,,-0.09067082561445682,0.6790523028309988,0.5791672831858192,,-0.06289578041277558,-0.06370071305963851,-0.15544735686505418,-0.056625428004218104,-0.08641902265834263,-0.1267751888432472,0.4924458709988048,0.29961922188877926,0.5242231082724629,1.0,0.17290084128171454,0.14473019730098285,0.5877324296788154,0.15644767631641063,,-0.18315748385874797,-0.19655592456950946,-0.1791854906654718,0.04163804800482137,-0.1637575817186009,-0.22286895087760628,-0.2163111532612308,-0.08707848809682465,-0.2044496487963029,-0.21831338411006132,-0.13312163453322573,-0.08235024277277221,-0.07358761612298946,-0.065096086596448,-0.07215526569397764,-0.12457319122990428,-0.006066679798819771,-0.1621656541980931,0.4713632239087135,0.48357318244049335,0.01471012174976111,-0.011723200619702598,-0.22646362927334804,-0.02395553367558494
minimum_maximum_nights,-0.3133568562205876,,-0.2135009021027454,0.1006100071827811,0.04549518278060492,,-0.022643972283410592,0.020448884738051502,0.062157997051177055,0.02048346066088203,0.0011634611085403832,0.049479474096110934,0.07609625852921106,0.4464228002928104,0.07134779235706293,0.17290084128171454,1.0,0.8833529505647668,0.07546462402012663,0.9376294114573418,,-0.11879638646574021,-0.11456621697206751,-0.10839251719964893,0.05982189870797927,0.18408463981153703,0.07438841741866245,0.020164850638562958,-0.02357738331547297,0.11618293384890348,0.10162341334897061,0.03837372848005208,0.017671086211434487,0.026767860295821115,0.00358251422360835,0.04826460140881275,0.04060452988141244,0.018356988877281297,0.004041384237441991,0.1742957868087571,0.21067706476815037,-0.08291548977097074,-0.010334701158412929,0.005111925418268488,-0.09827390659187774
maximum_maximum_nights,-0.28233329654165384,,-0.15804441676339126,0.1388068681001812,0.13570289390848078,,-0.03252191151057488,-0.034963981865497096,0.08799581689624755,0.037618704770259075,-0.0059179185977565945,0.0651978643538068,0.03883518916455448,0.5301895654723163,0.029048831657350525,0.14473019730098285,0.8833529505647668,1.0,0.03327705000342067,0.9748973573305602,,-0.005566997495889694,-0.011595612657567565,-0.01661744642819872,0.12521001009708016,0.15376086708166617,0.04187572700047222,-0.015998869263029285,0.04668207174196308,0.0875022496345376,0.05151190960753324,0.07589964886804132,-0.023778340180020143,-0.01375589024651808,-0.012729940593947863,-0.017803739069671247,-0.042915811732729396,0.03853275207896308,-0.03794877020153141,0.17067625800489908,0.20149300872183992,-0.1024932535324473,-0.008666275353819246,-0.039141451741222605,0.07207922597939083
minimum_nights_avg_ntm,-0.04880201994186678,,-0.09194153906284526,0.13201234054176583,0.1035073461050819,,-0.015830112496726348,-0.060389022152538316,-0.15766097173266969,-0.06017468670304443,-0.04295620060002613,-0.11616219787803411,0.8596019666419811,0.1624725742970008,0.9732379775618202,0.5877324296788154,0.07546462402012663,0.03327705000342067,1.0,0.04751899555104019,,-0.15415049474379444,-0.16981742042066372,-0.14293868950232486,0.05438606127399509,-0.1805854290928575,-0.29085002381452646,-0.28492000913472254,-0.04483054932444932,-0.26578440397466424,-0.21029876541858117,-0.16765722165291663,-0.018246329872160273,-0.012653345653615375,-0.059274909510577505,-0.002097555137516955,-0.003963015668685481,0.007942619313250479,-0.04584428683590419,0.1875739126564091,0.16373552289653215,0.1093420870778458,0.0019252762194199764,-0.2713831921031787,-0.041977863839824214
maximum_nights_avg_ntm,-0.2933022076942993,,-0.18276181997003388,0.11097491699429218,0.08522512297383061,,-0.031777362193714624,-0.010576599706808984,0.07555506311157904,0.029163658575444208,-0.004456598325129285,0.05429494871465754,0.051148318975172635,0.49588585834082033,0.04339754567024007,0.15644767631641063,0.9376294114573418,0.9748973573305602,0.04751899555104019,1.0,,-0.03504965537840939,-0.043238267519904505,-0.04732976766063403,0.10193179158711803,0.16439987873611614,0.050251987888739774,-0.007408710655619261,0.020017409936645147,0.09755402046385717,0.06379731858963868,0.03936093413216285,-0.015798469897071312,-0.006830013116935407,-0.010538173703642826,-0.007877034746917812,-0.02753318448051503,0.03129303710089563,-0.032244093927012024,0.1747530544880747,0.21189903513307354,-0.09646028879063687,-0.01480461704334983,-0.031999576709015376,-0.04759505264004766
