,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
bedrooms,-0.042015938165910496,,-0.01278859914372478,0.03264257181323733,0.05568242813651897,,-0.00885575976060756,-0.20659736550638483,0.8604486201472267,0.5310903969988684,1.0,0.847349376057672,-0.0518221130815831,0.052506586879638086,-0.05243196346494495,-0.030127886896735234,0.15906985843707488,0.1505486627178984,-0.045571296251922216,0.15134986530909808,,-0.10328425525435954,-0.1326111385471539,-0.1150139240899784,-0.05355494949954406,-0.0635913826875571,-0.01533507788768837,-0.028990819180651068,-0.11664458589384713,-0.0259803308021684,0.010057359449406743,0.37520698990732193,-0.004059334331477974,-0.04638233442130483,0.024564719375013047,0.004253467782560383,0.019936246408011744,0.004431685307980161,-0.005247271556958469,,-0.030174485912941335,0.005206664369962131,-0.06321253894671461,,-0.026764043796571706,0.6166218505951436
beds,-0.10255173251597237,,-0.026721086735113905,0.03607775394233188,0.048784207595788776,,0.019948884140566173,-0.18464026692465302,0.8395146719655153,0.4877587127656049,0.847349376057672,1.0,-0.09665178118815516,0.04107484146561001,-0.09446499547479766,-0.06936382531386213,0.1895746663686223,0.18729593299638392,-0.08820826220490291,0.18755693031168325,,-0.079593658175381,-0.1012012884357354,-0.09753420218875265,-0.04033543474339806,0.044324501275980664,0.06766090793967085,0.04253213845127745,-0.09930130560113393,0.03237542770844624,0.09329481610368005,0.3995298686419257,-0.020568927529684387,-0.030116320950299074,0.01904078758622582,-0.011729502793590864,0.01661224870938173,-0.003113250859077356,-0.025466293428073453,,-0.10453141951613322,-0.05723028287171058,-0.09082436842787725,,0.0757964449031613,0.5973226077925219
minimum_nights,0.075670776935995,,0.06222636632108715,0.02169923136464607,-0.002200838385641131,,0.11284288508684655,-0.1368885800966488,-0.11812537924433653,-0.061070077944914355,-0.0518221130815831,-0.09665178118815516,1.0,0.02975099297473885,0.9951742050653484,0.9359070020072189,-0.020941702132500573,-0.027892910090521406,0.9826574261426038,-0.027529309661467095,,-0.10630342647803123,-0.12340815807925372,-0.12739948233418139,-0.01388693957740713,-0.12301633944486416,-0.1770149215893598,-0.14536949393249718,-0.12603995124598344,-0.14169308084430765,-0.1460118856294411,-0.1744780705190259,-0.012157809815039208,-0.01333433252987942,-0.029200756646642557,-0.03361748635113957,-0.0017386451717897916,-0.04990319051289592,-0.030522487075669565,,-0.07358531590145084,-0.1334708083180594,0.08965931806243609,,-0.22410391185235898,-0.10155088246944208
maximum_nights,-0.43309757053798803,,-0.2963748450372982,0.15985039855760935,0.17508137397732035,,-0.14033032617027574,-0.0017471716022269383,0.05528085732821117,-0.05622966686362585,0.052506586879638086,0.04107484146561001,0.02975099297473885,1.0,0.03660937684175009,0.02562108526683816,0.6148561391109654,0.6524620128314493,0.02845318364593055,0.6512917291691865,,-0.10396766802551154,-0.09878369332443546,-0.08672223971961682,0.1165024738783373,0.16822745363834296,0.04439456048811324,0.0019088160071703301,-0.08641895117519723,0.07686415138233599,0.04313877447420684,0.015887926806376088,0.04510188893689262,0.023616575950720694,0.021202614290141128,0.03352553511633579,-0.0063711411564416716,0.06547047809210223,0.005057804156217613,,-0.07141812542768385,0.043904396101249535,-0.20093561401922763,,-0.034741934292761366,0.0042677968725930585
minimum_minimum_nights,0.06735234474697005,,0.06795574972157015,0.01737841310906177,-0.0036091551047610295,,0.11847387871611323,-0.13641814026144639,-0.11336404080532057,-0.056822112755942886,-0.05243196346494495,-0.09446499547479766,0.9951742050653484,0.03660937684175009,1.0,0.9324195768192528,-0.014133397001348058,-0.020730009058228343,0.9790044052979353,-0.020374886368484328,,-0.09726045855159308,-0.1189282993803133,-0.12486485405748952,-0.008004705467922656,-0.11763843570900737,-0.16970328350571656,-0.14104678298671486,-0.12352106071261124,-0.13536093284149064,-0.14883605884533196,-0.17998308565722304,-0.016169816172989137,-0.02153721647495101,-0.03523063539600561,-0.03362204430178611,-0.004150051754881615,-0.05472736520764399,-0.029708115318319267,,-0.07493939275808932,-0.12742250153426546,0.0771789760508292,,-0.2103411190812976,-0.09789726274972202
maximum_minimum_nights,0.07600647708129867,,0.06086372980550149,0.024268970400548748,0.0029939821812186873,,0.12216061979780295,-0.16340966508120067,-0.10077751050198709,-0.05713379061318308,-0.030127886896735234,-0.06936382531386213,0.9359070020072189,0.02562108526683816,0.9324195768192528,1.0,-0.02489306890387502,-0.031320100914454356,0.984708775402326,-0.030962652275390242,,-0.10885981812439699,-0.11279379776519899,-0.11226045707627186,-0.022910339408686385,-0.11724786139004219,-0.1654233528216962,-0.13287405081049913,-0.11155474986979934,-0.12784870185548672,-0.13641691422368524,-0.1451471481135356,0.0018493518097369532,0.0024363559505813383,-0.013601445950430727,-0.021961941675349126,0.0039932561153115855,-0.031187723113831497,-0.018969571139608486,,-0.07898556805472301,-0.13295836688957682,0.07912139562793798,,-0.19755460948954676,-0.08125541834157836
minimum_maximum_nights,-0.48842534251558023,,-0.22984664894295484,0.15526550100564326,0.14459672036629603,,-0.18554919723346555,0.0032370006512088844,0.19207247424828983,0.15182702292281003,0.15906985843707488,0.1895746663686223,-0.020941702132500573,0.6148561391109654,-0.014133397001348058,-0.02489306890387502,1.0,0.9690664000902532,-0.023553379488299494,0.972431111841566,,-0.07545903110678033,-0.07563787092750562,-0.07136250726934647,0.013924844338454851,0.31358868035966914,0.17880137140727415,0.10698751009017353,-0.07190664903701086,0.26843734403440617,0.22208614155585255,0.2233607511497205,0.025039120349980914,0.045029257747945514,0.03138259555300809,-0.012744732531808068,-0.0657643608554841,0.07435292052976526,-0.017498406536511794,,-0.05671081939325441,-0.03231546240660198,-0.04780785610019623,,0.07811566753059718,0.15248181885378828
maximum_maximum_nights,-0.49321216171690746,,-0.24522717000260402,0.15066300520993475,0.1402581128806266,,-0.19814902239231916,0.020716692891414677,0.18556180325539445,0.14073924767358625,0.1505486627178984,0.18729593299638392,-0.027892910090521406,0.6524620128314493,-0.020730009058228343,-0.031320100914454356,0.9690664000902532,1.0,-0.030127621302669997,0.9998405830386266,,-0.10239031937422802,-0.09627143653586626,-0.08478269914359055,0.023483750163940272,0.3140541522718318,0.20924076373590111,0.12635383739863001,-0.08570763038178532,0.2836105192278721,0.22677694411170976,0.22378178652016317,0.02936928321332712,0.0509054410493817,0.032588190832094584,-0.012135917013194575,-0.06072182105932191,0.07943810985707023,-0.017707209276836423,,-0.055518420457258945,-0.022955501075593507,-0.06119198404288302,,0.10247079333171373,0.15011134247483257
minimum_nights_avg_ntm,0.07668142115941477,,0.061534074638755085,0.020970724736591666,-0.0021101221104959872,,0.12018030796626614,-0.15311344307586736,-0.11197224235671532,-0.06465957694678154,-0.045571296251922216,-0.08820826220490291,0.9826574261426038,0.02845318364593055,0.9790044052979353,0.984708775402326,-0.023553379488299494,-0.030127621302669997,1.0,-0.029774487142636624,,-0.10868122290200236,-0.11847746642952138,-0.12042249464937722,-0.01643094003200989,-0.12146721033324878,-0.17331990004399286,-0.1408873873020647,-0.11940343919370178,-0.13691206065602723,-0.14282508304757074,-0.16686152964562334,-0.005690552694969004,-0.00464128727335432,-0.021291907753417407,-0.028485675034356412,0.0013527066457231988,-0.039652682205198096,-0.025746172050616096,,-0.07845619900906034,-0.13491227347127357,0.08331328073046959,,-0.21663466709131116,-0.09719043564603981
maximum_nights_avg_ntm,-0.4938365715762789,,-0.2445535434925981,0.15118685352504296,0.1407360456532898,,-0.19770942416778778,0.019664195776810927,0.186143625223563,0.14160044889142667,0.15134986530909808,0.18755693031168325,-0.027529309661467095,0.6512917291691865,-0.020374886368484328,-0.030962652275390242,0.972431111841566,0.9998405830386266,-0.029774487142636624,1.0,,-0.10103670767564402,-0.09523834199348723,-0.08393034341771967,0.023687527806021576,0.3139049660029179,0.20501012630746465,0.12303069599899176,-0.08486890197176498,0.281911703165349,0.2257052988143891,0.22330414647281419,0.02896672555947969,0.050490343213806514,0.03240465024883871,-0.012356099825210005,-0.06122284926001306,0.07897705332562752,-0.017966658475462707,,-0.05509682457116907,-0.022892654640509907,-0.06053977554018747,,0.09888125753273773,0.15053325127765155
