,id,scrape_id,host_id,host_listings_count,host_total_listings_count,neighbourhood_group_cleansed,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_clean
minimum_nights_avg_ntm,-0.14308054818862337,,-0.09666675437258236,-0.017132006134908128,-0.025851214623632254,,0.0313606699001807,0.03481947391013037,-0.0910058266889383,0.2673681519472417,-0.023106445589074973,-0.07098163555968441,0.994627862382751,0.010742804594600993,0.9896295028434896,0.7726181656369459,-0.019027223709168636,-0.019027385972231806,1.0,-0.01900113844376677,,0.04543119221828822,0.03496477044831207,0.024148387684142143,0.06921305304588267,-0.12678996529547876,-0.13168350346979873,-0.12370458209905257,0.023997175853555038,-0.13695273756072224,-0.13311083939939553,-0.06967005540655333,-0.020352056313722004,-0.014583793826780529,-0.07877923394897862,-0.01696318269869994,-0.024437289895817244,-0.010785898236421515,-0.03968069563323108,-0.01828415261572548,0.012398197609004237,-0.021088420754229738,-0.0327106775833477,-0.17656831552774604,-0.0337476853899159
maximum_nights_avg_ntm,-0.04769970493411029,,0.01650272426627949,-0.004858817852367063,-0.004846796910628796,,0.03977945387622909,0.01765592816098629,-0.011763190691912138,-0.021447160179382023,-0.02793807567317187,-0.013834920899985727,-0.0191234573366062,0.0013840260104338554,-0.018688663839330304,-0.017443443071418197,0.9999999999993089,0.9999999999993321,-0.01900113844376677,1.0,,0.05445098256102819,0.04411623757818388,0.040330244939638014,0.010604200973863158,-0.015641690884532815,-0.0004733590625150147,0.0005368449190660044,0.03728751350721544,-0.0133143533287381,-0.02179880719402836,-0.007470042891227702,-0.007668333438538626,-0.017903040610165625,-0.003136191707124055,-0.01231276732354845,-0.03677931914631009,0.0016561357789645875,-0.00016232676396472237,-0.012383288973394593,-0.015722826798938844,-0.003323648056512695,-0.004347510947331178,-0.018837128537571593,-0.003145282058116138
calendar_updated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
availability_30,0.20374433128039052,,0.2939549577230472,0.06631277559547898,0.09420451742300189,,0.07423745790954638,0.013619992306940507,0.0034969280141917206,0.05881920158683848,-0.07692628148016903,-0.03879633057154205,0.047734749932261095,-0.00982233725836486,0.04832296359765835,-0.027052506137229867,0.054421948742340895,0.05442233061875378,0.04543119221828822,0.05445098256102819,,1.0,0.9222829400831081,0.8483980160545657,0.520531666311537,-0.023581767103885643,0.01447084429822295,0.04340402934944247,0.7872552578508045,-0.014163276257268322,-0.09438325516381453,-0.025323106772396523,-0.18306975627450944,-0.19308755561170668,-0.14609319097614917,-0.1159384502821919,-0.13482455546695807,-0.13882557775866566,-0.16004653048803819,0.24952527087800505,-0.10888999719034698,0.3413367354380203,0.015446038980644953,0.09735625757508407,0.05263290686557391
availability_60,0.20747410324016047,,0.2929069431471261,0.057278852299270454,0.08371270799288648,,0.04616216299883348,0.009181773431134901,-0.018542644592803196,0.0457288573463218,-0.10415378890150653,-0.06813866302789957,0.03720214732033451,-0.012181143647082476,0.03692703485739453,-0.040374126750773225,0.04408044551800849,0.044080818422497635,0.03496477044831207,0.04411623757818388,,0.9222829400831081,1.0,0.9646627337460656,0.6094532005117286,0.00503381634835239,0.03700044066147732,0.06363923127864374,0.910522285374518,0.011430178592906095,-0.04385997245683207,-0.03178517901583216,-0.192570321705714,-0.19295590105790955,-0.1486804067864658,-0.1202387254908755,-0.13529798810454033,-0.15880801623388066,-0.16699436390781044,0.22222506597490607,-0.1143014515239043,0.31375005362121045,0.00613062484766314,0.12243836298244275,0.04508712718492436
availability_90,0.1996809086137618,,0.28199980578655043,0.04369654962282872,0.0695123649420479,,0.026924483129423957,-0.01374743587057902,-0.028425047971287042,0.028973013756204324,-0.11205720427949602,-0.07784645785185544,0.02634816574448243,-0.014164315396288252,0.025667225898813043,-0.0527468218647633,0.04029105329632219,0.04029141331045905,0.024148387684142143,0.040330244939638014,,0.8483980160545657,0.9646627337460656,1.0,0.6702117522131628,0.04025461582935604,0.06721750771698777,0.09187913102882517,0.9720034361293497,0.04551537890541294,0.016073075682738844,-0.024095357936071236,-0.18331861528609986,-0.1799404080365109,-0.14388425271722272,-0.11252314211901662,-0.12608894039865998,-0.15303727294925623,-0.15795922332674642,0.1887704673507573,-0.12379196694182777,0.28230868616733784,-0.003546235691839666,0.1502382468669712,0.042902135992841296
availability_365,0.1553898021444514,,0.20566419646827336,0.1371381097402261,0.1482906612905209,,0.041681037037108425,0.006548245861085951,-0.023918343527965128,0.051479406848130155,-0.07064164515418143,-0.06771896333991997,0.06986741789666899,-0.0025908459811262202,0.06698576238873202,0.06936740283197015,0.010526842627127173,0.010526982413419957,0.06921305304588267,0.010604200973863158,,0.520531666311537,0.6094532005117286,0.6702117522131628,1.0,0.008553437601010759,0.009608915599211953,0.019401084188354956,0.7591638701868307,0.006185248726745102,0.05627429262771145,-0.034619881383541634,-0.1735893248786379,-0.16731073271382002,-0.16736126559234296,-0.10564866229580494,-0.1255782205172806,-0.1381145795275059,-0.1666779876177954,0.24131727426817137,0.014363499687779968,0.2534400369241335,-0.022642001097064615,0.04878255365799285,0.045418114746691864
number_of_reviews,-0.33447700090373006,,-0.20211330020629056,-0.12786742308658736,-0.12753260413870715,,-0.17185087217288322,-0.192387577194899,-0.027493251161675274,-0.07319133119444338,-0.07277946342304482,-0.017213604864981306,-0.12750037489685268,-0.009207148246598022,-0.12757026444031971,-0.13534937264740263,-0.015629183974010547,-0.01562921788249346,-0.12678996529547876,-0.015641690884532815,,-0.023581767103885643,0.00503381634835239,0.04025461582935604,0.008553437601010759,1.0,0.6194303128592101,0.46271961274728446,0.051166774005302534,0.742611969337502,0.5409297493370581,0.09480799669964425,0.06738257336297739,0.08989597086441868,0.09101580577570141,0.07508132129296344,0.0834615535305207,0.056048344544192656,0.09958061724479052,-0.165245388439178,-0.12429291708350369,-0.10024790192927399,0.01316700621247908,0.6694671638902353,-0.04037988994053182
number_of_reviews_ltm,-0.0654721945493078,,-0.007011325732198201,-0.10467891826303367,-0.10271096156152605,,-0.1382902647247953,-0.16483447265153453,0.006463516364387857,-0.04965468397011605,-0.03795328855335631,0.006048052364175297,-0.13362469383848152,-0.009266859170035262,-0.13317937509228228,-0.1280056965247952,-0.0004182807751906538,-0.00041822394269015723,-0.13168350346979873,-0.0004733590625150147,,0.01447084429822295,0.03700044066147732,0.06721750771698777,0.009608915599211953,0.6194303128592101,1.0,0.8366258778789647,0.0770438147634524,0.8263024806608914,0.5832364616561745,0.12687753398317744,0.06404528206268399,0.06802549101429706,0.08328733179657144,0.056507587057119106,0.06000454770461863,0.04036706371301264,0.0919248866574586,-0.14061229585009555,-0.10619133536362937,-0.0850665754694352,-0.0015827029615461939,0.8732685635612127,-0.031797728494683423
number_of_reviews_l30d,-0.004139915703734838,,0.020265895867291495,-0.09650721488995263,-0.09374721111362692,,-0.12613723694763462,-0.15778338197353553,0.01805508454430087,-0.0425117087332819,-0.010552694096147975,0.01722273022602011,-0.12511133970622346,-0.009290539965150037,-0.12541688308453328,-0.11963051998704835,0.0005570861875107874,0.0005571946490123074,-0.12370458209905257,0.0005368449190660044,,0.04340402934944247,0.06363923127864374,0.09187913102882517,0.019401084188354956,0.46271961274728446,0.8366258778789647,1.0,0.09853155603967224,0.6189036274301187,0.4862083521504225,0.11085741483713092,0.05318469464356347,0.05565451320606184,0.06922359130323036,0.04397144156091794,0.04434879539570507,0.030053539231591167,0.07584063230931766,-0.13472326336913512,-0.1028288623214145,-0.0817623156454959,0.010246255804327465,0.7877596624607338,-0.02646723849990762
